department,commodity_desc,quarter_like_period,sales,households,baskets
PRODUCE,MUSHROOMS,2.0,1498.890000000003,325,610
DRUG GM,FOOT CARE PRODUCTS,2.0,556.53,64,71
DRUG GM,CANDLES/ACCESSORIES,2.0,496.79,125,171
DELI,SUSHI,2.0,661.8199999999998,34,77
SEAFOOD-PCKGD,SEAFOOD - MISC,2.0,261.73,110,127
DRUG GM,J-HOOKS,2.0,519.49,129,151
DRUG GM,WATCHES/CALCULATORS/LOBBY,2.0,65.79,10,12
DRUG GM,COUPON/MISC ITEMS,2.0,153.63,4,5
DRUG GM,FIREWORKS,2.0,234.35000000000005,34,37
DRUG GM,GLASSWARE & DINNERWARE,2.0,197.56,26,28
GROCERY,NEW AGE,2.0,5.75,5,5
MEAT,EXOTIC GAME/FOWL,2.0,40.370000000000005,6,7
CNTRL/STORE SUP,COUPON/MISC ITEMS,2.0,0.0,1,1
NUTRITION,JUICE,6.0,479.45,72,131
KIOSK-GAS,COUPON/MISC ITEMS,6.0,89183.71999999988,721,3126
DRUG GM,CIGARETTES,6.0,14425.700000000003,431,1599
GROCERY,REFRGRATD JUICES/DRNKS,6.0,9702.559999999994,1160,3547
DRUG GM,SINUS AND ALLERGY,6.0,1765.090000000001,177,229
GROCERY,SOUP,6.0,9149.870000000008,1085,2619
GROCERY,BLEACH,6.0,1618.360000000001,367,540
GROCERY,WATER - CARBONATED/FLVRD DRINK,6.0,10109.519999999935,952,2948
GROCERY,DRY BN/VEG/POTATO/RICE,6.0,5103.720000000008,881,1745
DRUG GM,DIAPERS & DISPOSABLES,6.0,8144.9399999999905,260,629
GROCERY,DINNER MXS:DRY,6.0,6108.2500000000155,860,1709
PRODUCE,MELONS,6.0,4239.26000000001,619,1207
GROCERY,PAPER HOUSEWARES,6.0,3537.0600000000063,640,1111
GROCERY,CAT FOOD,6.0,4910.620000000004,340,977
PRODUCE,CORN,6.0,1027.7300000000002,364,632
GROCERY,SUGARS/SWEETNERS,6.0,3708.8900000000017,723,1290
PASTRY,CAKES,6.0,5366.720000000005,454,679
MEAT,SMOKED MEATS,6.0,2369.100000000001,321,484
DRUG GM,ELECTRICAL SUPPPLIES,6.0,1143.1299999999999,220,275
NUTRITION,DRIED FRUIT,6.0,1059.5000000000005,221,327
GROCERY,FROZEN BREAD/DOUGH,6.0,2324.140000000001,518,837
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,6.0,1832.2700000000011,422,608
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,6.0,3613.9200000000087,557,878
SEAFOOD,SEAFOOD - FROZEN,6.0,1913.9100000000003,111,176
PASTRY,PIES,6.0,1519.7400000000018,248,383
DRUG GM,PREPAID WIRELESS&ACCESSORIES,6.0,2410.42,63,117
FLORAL,FLORAL-FRESH CUT,6.0,2049.650000000001,210,286
PRODUCE,HERBS,6.0,545.4600000000002,269,433
NUTRITION,FROZEN,6.0,1553.1800000000017,106,227
DRUG GM,INFANT CARE PRODUCTS,6.0,958.4100000000007,123,162
FLORAL,GIFT & FRUIT BASKETS,6.0,2.03,1,1
FROZEN GROCERY,UNKNOWN,6.0,81.77,33,35
GM MERCH EXP,COUPON/MISC ITEMS,6.0,35.57,17,20
DRUG GM,APPAREL,6.0,601.96,58,65
PASTRY,BAKERY PARTY TRAYS,6.0,81.16000000000001,9,9
NUTRITION,BREAD,6.0,74.17,21,23
DRUG GM,GLASSES/VISION AIDS,6.0,186.38,19,20
MEAT,(CORP USE ONLY),6.0,46.13,9,9
NUTRITION,NON-DAIRY BEVERAGES,6.0,305.86,33,77
DRUG GM,DOLLAR VALUE PRODUCTS,6.0,69.89,15,15
DRUG GM,CANDY - CHECKLANE,3.0,3620.980000000021,1065,2908
GROCERY,ICE CREAM/MILK/SHERBTS,3.0,10822.939999999966,1086,2632
PRODUCE,PROCESSED,3.0,2255.0400000000036,409,648
GROCERY,CHEESE,3.0,26180.899999999863,1637,6457
GROCERY,SALD DRSNG/SNDWCH SPRD,3.0,5813.720000000014,1067,2051
PRODUCE,GRAPES,3.0,4333.67,649,1157
GROCERY,HISPANIC,3.0,5892.420000000018,876,1837
GROCERY,FRZN POTATOES,3.0,3139.160000000001,634,1228
GROCERY,FRZN MEAT/MEAT DINNERS,3.0,21155.689999999897,1128,3165
GROCERY,BEANS - CANNED GLASS & MW,3.0,2442.570000000002,735,1305
GROCERY,CRACKERS/MISC BKD FD,3.0,9170.240000000005,1270,3344
SEAFOOD,SEAFOOD-FRESH,3.0,2199.62,188,317
DRUG GM,CANDLES/ACCESSORIES,3.0,1243.0800000000008,160,223
DRUG GM,TOYS AND GAMES,3.0,1569.2600000000011,163,214
GROCERY,PAPER TOWELS,3.0,3820.5600000000027,649,1286
GROCERY,DRY NOODLES/PASTA,3.0,3353.600000000003,1025,2057
GROCERY,SPICES & EXTRACTS,3.0,4228.340000000001,854,1449
GROCERY,FRUIT - SHELF STABLE,3.0,5628.149999999989,930,1941
NUTRITION,CEREAL/BREAKFAST,3.0,767.7900000000002,80,176
DRUG GM,BATTERIES,3.0,1843.3600000000004,256,318
DRUG GM,FIRST AID PRODUCTS,3.0,1336.4300000000003,228,307
DRUG GM,GLASSWARE & DINNERWARE,3.0,128.31,31,32
PRODUCE,MUSHROOMS,3.0,1424.4400000000026,311,589
GROCERY,TEAS,3.0,1633.5000000000005,349,481
PRODUCE,VEGETABLES SALAD,3.0,1681.1400000000076,646,1369
PASTRY,ROLLS,3.0,1429.8900000000017,376,671
GROCERY,PWDR/CRYSTL DRNK MX,3.0,1918.9999999999925,336,621
GROCERY,FRZN BREAKFAST FOODS,3.0,3237.7800000000034,524,1009
DRUG GM,BABY HBC,3.0,1953.1100000000022,304,531
DELI,PARTY TRAYS,3.0,859.6000000000001,41,47
GROCERY,PET CARE SUPPLIES,3.0,1819.820000000002,226,340
DRUG GM,FOOT CARE PRODUCTS,3.0,550.5800000000002,56,68
SEAFOOD-PCKGD,SEAFOOD - MISC,3.0,254.12,102,120
DELI,SUSHI,3.0,692.65,35,85
DRUG GM,J-HOOKS,3.0,376.2199999999999,95,110
GROCERY,NEW AGE,3.0,168.86999999999998,47,84
DRUG GM,WATCHES/CALCULATORS/LOBBY,3.0,90.91,12,12
MEAT,EXOTIC GAME/FOWL,3.0,298.42999999999995,33,39
DRUG GM,COUPON/MISC ITEMS,3.0,13.08,3,3
DRUG GM,DEODORANTS,5.0,2196.44,459,600
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,5.0,5986.719999999999,732,1479
MEAT-PCKGD,LUNCHMEAT,5.0,12627.759999999873,1171,3195
NUTRITION,FITNESS&DIET,5.0,1497.9000000000003,102,243
GROCERY,PASTA SAUCE,5.0,4518.170000000011,811,1542
GROCERY,FRZN NOVELTIES/WTR ICE,5.0,6537.81999999999,803,1701
GROCERY,FACIAL TISS/DNR NAPKIN,5.0,2508.930000000004,489,879
PASTRY,BREAD,5.0,2328.5800000000036,465,1049
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,5.0,8055.610000000011,806,1993
GROCERY,BAKING NEEDS,5.0,3340.730000000008,729,1258
RESTAURANT,QUICK SERVICE,5.0,64.57,12,14
DRUG GM,SUNTAN,5.0,1012.3800000000006,110,126
GROCERY,BEERS/ALES,5.0,20656.86999999971,716,2139
SEAFOOD-PCKGD,SEAFOOD - FROZEN,5.0,7256.12999999999,543,937
DRUG GM,VITAMINS,5.0,2887.130000000002,208,288
DELI,CHEESES,5.0,6939.019999999993,646,1590
DRUG GM,SOAP - LIQUID & BAR,5.0,3064.9500000000025,541,807
FLORAL,FLORAL- HARD GOODS,5.0,460.13000000000005,36,53
DRUG GM,EYE AND EAR CARE PRODUCTS,5.0,1083.7600000000007,140,173
DRUG GM,BROOMS AND MOPS,5.0,1264.360000000001,317,404
GROCERY,AIR CARE,5.0,2060.100000000003,306,466
NUTRITION,CHIPS&SNACKS,5.0,857.3400000000006,145,243
PRODUCE,PEARS,5.0,472.85,140,233
GROCERY,COUPON/MISC ITEMS,5.0,528.8500000000001,167,184
COSMETICS,MAKEUP AND TREATMENT,5.0,3533.5800000000036,368,580
GROCERY,ISOTONIC DRINKS,5.0,4263.959999999998,410,898
FLORAL,ROSES,5.0,655.48,48,49
DRUG GM,COOKWARE & BAKEWARE,5.0,791.4900000000005,94,101
NUTRITION,BAKING,5.0,249.24,41,55
DRUG GM,IRONING AND CHEMICALS,5.0,429.0,42,50
DRUG GM,SHOE CARE,5.0,73.09,24,27
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),5.0,828.8800000000006,115,139
DRUG GM,AUDIO/VIDEO PRODUCTS,5.0,1438.6100000000006,96,110
FLORAL,FLORAL-ACCESSORIES,5.0,161.87,14,15
DRUG GM,PROPANE,5.0,329.35999999999996,15,15
NUTRITION,NON EDIBLE PRODUCTS,5.0,38.54,5,5
DRUG GM,HOME FREEZING & CANNING SUPPLY,5.0,80.52000000000001,10,11
GROCERY,EGGS,4.0,5981.940000000013,1412,4083
DELI,PREPARED FOOD,4.0,3047.880000000001,273,686
GROCERY,LAUNDRY ADDITIVES,4.0,2957.500000000002,408,637
GROCERY,BATH TISSUES,4.0,8506.859999999966,897,1857
GROCERY,CAT LITTER,4.0,2278.810000000001,217,390
 , ,4.0,0.0,426,878
DRUG GM,COFFEE FILTERS,4.0,706.2700000000002,201,242
MEAT,CHICKEN,4.0,14002.669999999995,935,2145
TRAVEL & LEISUR,APPLES,4.0,207.8,62,72
PRODUCE,APPLES,4.0,5272.020000000004,816,1884
DELI,CHICKEN/POULTRY,4.0,4112.730000000001,422,798
PRODUCE,POPCORN,4.0,1917.4200000000021,379,596
DRUG GM,INFANT FORMULA,4.0,6855.330000000001,137,400
DRUG GM,ETHNIC PERSONAL CARE,4.0,180.73,40,49
COSMETICS,BATH,4.0,653.5900000000001,137,164
PRODUCE,NUTS,4.0,1228.0000000000007,174,258
PRODUCE,VALUE ADDED VEGETABLES,4.0,1298.8600000000013,215,350
NUTRITION,WATER,4.0,728.0300000000002,123,258
DRUG GM,FAMILY PLANNING,4.0,758.1200000000001,79,89
NUTRITION,PACKAGED NATURAL SNACKS,4.0,180.54000000000005,40,57
NUTRITION,SOUP,4.0,234.38,38,55
COUP/STR & MFG,COUPONS/STORE & MFG,4.0,144.31,74,98
DRUG GM,SPORTS MEMORABLILIA,4.0,19.44,7,7
MEAT,VEAL,4.0,91.61,12,14
DRUG GM,CIGARS,4.0,75.87,15,21
DRUG GM,PORTABLE ELECTRIC APPLIANCES,4.0,129.91,13,13
RESTAURANT,COFFEE SHOP SWEET GOODS&RETAIL,4.0,46.96,7,9
NUTRITION,NATURAL VITAMINS,4.0,16.97,3,3
DRUG GM,MISCELLANEOUS HBC,5.0,9.56,3,4
DRUG GM,VALENTINE,1.0,3.7199999999999998,3,3
DRUG GM,DOLLAR VALUE PRODUCTS,1.0,1.0,1,1
NUTRITION,NON-DAIRY BEVERAGES,1.0,63.63000000000001,13,20
DRUG GM,SINUS AND ALLERGY,1.0,745.7500000000003,86,99
FROZEN GROCERY,UNKNOWN,1.0,35.05,12,15
MEAT,(CORP USE ONLY),1.0,11.51,6,6
PASTRY,BAKERY PARTY TRAYS,1.0,3.99,1,1
DRUG GM,HOME HEALTH CARE,5.0,34.28,2,2
FLORAL,PROD SUPPLIES,2.0,2.99,1,1
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,7.0,7943.350000000003,796,1963
GROCERY,FACIAL TISS/DNR NAPKIN,7.0,2636.260000000003,533,972
GROCERY,BAKING NEEDS,7.0,6165.289999999995,937,1946
DRUG GM,DEODORANTS,7.0,2418.2900000000022,460,644
GROCERY,PASTA SAUCE,7.0,4969.529999999998,858,1621
SEAFOOD-PCKGD,SEAFOOD - FROZEN,7.0,6645.980000000001,536,926
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,7.0,6489.749999999997,765,1537
GROCERY,BEERS/ALES,7.0,19000.42999999976,666,2001
PRODUCE,PEARS,7.0,984.7299999999998,245,414
GROCERY,FRZN NOVELTIES/WTR ICE,7.0,4053.460000000003,550,984
MEAT-PCKGD,LUNCHMEAT,7.0,12128.369999999875,1161,3199
DRUG GM,AUDIO/VIDEO PRODUCTS,7.0,2649.8100000000004,129,166
PASTRY,BREAD,7.0,2538.1600000000026,506,1138
COSMETICS,MAKEUP AND TREATMENT,7.0,3527.4900000000007,344,567
DELI,CHEESES,7.0,7487.869999999997,667,1529
GROCERY,AIR CARE,7.0,3166.0800000000036,402,622
DRUG GM,SOAP - LIQUID & BAR,7.0,3230.840000000002,556,853
NUTRITION,FITNESS&DIET,7.0,1442.3,100,235
DRUG GM,EYE AND EAR CARE PRODUCTS,7.0,1240.9300000000003,136,172
RESTAURANT,QUICK SERVICE,7.0,114.87,11,16
DRUG GM,VITAMINS,7.0,3209.3900000000017,221,313
DRUG GM,COOKWARE & BAKEWARE,7.0,1353.3200000000006,164,192
DRUG GM,BROOMS AND MOPS,7.0,1349.3800000000012,316,423
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),7.0,759.4700000000003,97,121
GROCERY,ISOTONIC DRINKS,7.0,2543.97,295,617
DRUG GM,IRONING AND CHEMICALS,7.0,325.26,35,37
GROCERY,COUPON/MISC ITEMS,7.0,592.26,143,154
NUTRITION,CHIPS&SNACKS,7.0,694.34,110,192
DRUG GM,SHOE CARE,7.0,88.25,35,35
FLORAL,ROSES,7.0,995.4100000000002,67,79
DRUG GM,SUNTAN,7.0,106.61,10,11
FLORAL,FLORAL- HARD GOODS,7.0,192.7,31,35
NUTRITION,BAKING,7.0,297.97,33,58
FLORAL,FLORAL-ACCESSORIES,7.0,75.86,13,13
NUTRITION,NON EDIBLE PRODUCTS,7.0,108.27,12,18
DRUG GM,MISCELLANEOUS HBC,7.0,11.96,4,4
DRUG GM,HOME FREEZING & CANNING SUPPLY,7.0,158.23000000000002,19,21
DRUG GM,PROPANE,7.0,109.94999999999999,5,5
DAIRY DELI,EGGS,3.0,67.45000000000003,49,52
TOYS,TOYS,3.0,4.68,2,2
CNTRL/STORE SUP,COUPON/MISC ITEMS,3.0,3.1,4,4
DRUG GM,LAWN AND GARDEN SHOP,4.0,12.99,1,1
DRUG GM,VALENTINE,6.0,9.99,1,1
PRODUCE,SALAD BAR,6.0,4.09,1,1
AUTOMOTIVE,NEWSPAPER,6.0,0.5,1,1
RX,COUPON/MISC ITEMS,5.0,12.0,1,1
GROCERY,PASTA SAUCE,8.0,4546.220000000009,847,1532
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,8.0,6890.539999999983,784,1802
NUTRITION,NON EDIBLE PRODUCTS,8.0,112.96000000000002,10,18
GROCERY,AIR CARE,8.0,2119.8200000000033,326,452
GROCERY,BEERS/ALES,8.0,16101.85999999981,614,1747
MEAT-PCKGD,LUNCHMEAT,8.0,11402.729999999872,1147,2864
NUTRITION,FITNESS&DIET,8.0,1094.18,90,193
GROCERY,ISOTONIC DRINKS,8.0,2431.569999999999,276,539
DELI,CHEESES,8.0,7005.049999999997,647,1397
DRUG GM,IRONING AND CHEMICALS,8.0,240.40999999999994,34,35
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,8.0,6313.639999999992,762,1535
GROCERY,FACIAL TISS/DNR NAPKIN,8.0,2653.560000000004,536,972
SEAFOOD-PCKGD,SEAFOOD - FROZEN,8.0,7348.319999999983,593,982
GROCERY,BAKING NEEDS,8.0,3974.360000000005,738,1305
PRODUCE,PEARS,8.0,642.5699999999999,168,257
DRUG GM,VITAMINS,8.0,3219.6500000000015,208,301
DRUG GM,SOAP - LIQUID & BAR,8.0,2551.0200000000013,496,719
PASTRY,BREAD,8.0,2382.720000000004,546,1079
COSMETICS,MAKEUP AND TREATMENT,8.0,3119.2500000000023,328,500
DRUG GM,BROOMS AND MOPS,8.0,1431.5800000000008,299,380
DRUG GM,DEODORANTS,8.0,1800.1700000000005,389,484
DRUG GM,AUDIO/VIDEO PRODUCTS,8.0,1588.3600000000006,94,120
NUTRITION,CHIPS&SNACKS,8.0,695.1300000000001,121,191
GROCERY,FRZN NOVELTIES/WTR ICE,8.0,3771.570000000003,547,984
DRUG GM,COOKWARE & BAKEWARE,8.0,870.2700000000002,122,144
GROCERY,COUPON/MISC ITEMS,8.0,416.28000000000003,124,134
FLORAL,ROSES,8.0,1286.0300000000004,57,62
DRUG GM,EYE AND EAR CARE PRODUCTS,8.0,1007.3700000000001,89,106
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),8.0,1047.710000000001,125,155
FLORAL,FLORAL- HARD GOODS,8.0,411.9700000000001,34,36
DRUG GM,SHOE CARE,8.0,107.95000000000002,30,31
NUTRITION,BAKING,8.0,154.78000000000003,31,41
DRUG GM,HOME HEALTH CARE,8.0,20.29,1,1
RESTAURANT,QUICK SERVICE,8.0,191.69,24,32
FLORAL,FLORAL-ACCESSORIES,8.0,73.44999999999999,9,9
DRUG GM,SUNTAN,8.0,140.54,7,8
DRUG GM,HOME FREEZING & CANNING SUPPLY,8.0,52.239999999999995,10,10
DRUG GM,PROPANE,8.0,18.49,1,1
PRODUCE,SEASONAL,4.0,2.99,1,1
DRUG GM,MISCELLANEOUS HBC,8.0,8.97,3,3
GROCERY,DRY NOODLES/PASTA,1.0,1062.430000000001,440,662
GROCERY,FRUIT - SHELF STABLE,1.0,1947.0500000000013,392,611
GROCERY,CHEESE,1.0,9159.129999999932,974,2184
GROCERY,BEANS - CANNED GLASS & MW,1.0,1017.9099999999978,356,486
GROCERY,SPICES & EXTRACTS,1.0,1433.8300000000008,348,459
GROCERY,CRACKERS/MISC BKD FD,1.0,3131.989999999979,620,1066
GROCERY,FRZN MEAT/MEAT DINNERS,1.0,7463.949999999952,590,1112
GROCERY,HISPANIC,1.0,2211.810000000002,416,661
PRODUCE,MUSHROOMS,1.0,595.6900000000011,163,239
GROCERY,FRZN BREAKFAST FOODS,1.0,1127.2000000000016,203,329
GROCERY,SALD DRSNG/SNDWCH SPRD,1.0,2775.58,600,962
DRUG GM,CANDY - CHECKLANE,1.0,1670.4800000000037,608,1396
DRUG GM,CANDLES/ACCESSORIES,1.0,253.52,43,56
DRUG GM,J-HOOKS,1.0,132.75999999999996,29,37
GROCERY,ICE CREAM/MILK/SHERBTS,1.0,4191.439999999983,580,999
DRUG GM,BATTERIES,1.0,544.8299999999999,91,104
GROCERY,PET CARE SUPPLIES,1.0,655.2500000000003,95,125
GROCERY,PAPER TOWELS,1.0,1376.660000000002,314,465
SEAFOOD-PCKGD,SEAFOOD - MISC,1.0,115.04,54,58
GROCERY,FRZN POTATOES,1.0,903.3500000000024,248,354
DRUG GM,GLASSWARE & DINNERWARE,1.0,35.300000000000004,8,8
DRUG GM,FOOT CARE PRODUCTS,1.0,313.24000000000007,37,39
DRUG GM,FIRST AID PRODUCTS,1.0,660.0600000000005,117,134
GROCERY,PWDR/CRYSTL DRNK MX,1.0,920.9000000000021,230,297
NUTRITION,CEREAL/BREAKFAST,1.0,283.54,34,59
DRUG GM,FIREWORKS,1.0,67.13,16,21
DRUG GM,TOYS AND GAMES,1.0,594.1100000000008,96,114
PASTRY,ROLLS,1.0,566.3700000000008,171,271
DRUG GM,BABY HBC,1.0,830.0600000000002,151,210
SEAFOOD,SEAFOOD-FRESH,1.0,1021.4200000000003,103,152
PRODUCE,VEGETABLES SALAD,1.0,798.4000000000041,372,608
PRODUCE,GRAPES,1.0,1556.6000000000001,349,503
GROCERY,TEAS,1.0,698.6500000000007,157,204
PRODUCE,PROCESSED,1.0,633.4300000000005,161,197
DELI,SUSHI,1.0,178.84999999999997,12,24
DRUG GM,CIGARETTES,2.0,14852.389999999981,461,1680
GROCERY,BLEACH,2.0,1230.6200000000003,359,495
GROCERY,SOUP,2.0,8229.14,1065,2415
GROCERY,REFRGRATD JUICES/DRNKS,2.0,9553.529999999942,1216,3847
KIOSK-GAS,COUPON/MISC ITEMS,2.0,68004.62999999995,704,2729
GROCERY,DRY BN/VEG/POTATO/RICE,2.0,4838.490000000018,895,1690
GROCERY,SUGARS/SWEETNERS,2.0,3470.220000000011,757,1361
GROCERY,WATER - CARBONATED/FLVRD DRINK,2.0,9773.179999999913,950,2756
GROCERY,PAPER HOUSEWARES,2.0,2925.6600000000035,582,977
GROCERY,FROZEN BREAD/DOUGH,2.0,2204.6000000000004,516,836
DRUG GM,DIAPERS & DISPOSABLES,2.0,7587.7599999999875,224,580
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,2.0,3288.5900000000092,549,856
MEAT,SMOKED MEATS,2.0,2340.6900000000005,297,421
GROCERY,DINNER MXS:DRY,2.0,6099.780000000008,805,1620
NUTRITION,FROZEN,2.0,1348.51,84,202
PRODUCE,CORN,2.0,1883.070000000001,470,816
FLORAL,FLORAL-FRESH CUT,2.0,2491.950000000001,198,320
PRODUCE,HERBS,2.0,853.3300000000013,273,505
PASTRY,CAKES,2.0,4881.570000000002,388,542
PRODUCE,MELONS,2.0,3559.9500000000044,596,1204
GROCERY,CAT FOOD,2.0,4112.179999999994,309,832
NUTRITION,DRIED FRUIT,2.0,933.0400000000004,217,309
DRUG GM,PREPAID WIRELESS&ACCESSORIES,2.0,3215.75,98,172
DRUG GM,ELECTRICAL SUPPPLIES,2.0,1137.04,226,282
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,2.0,1645.3000000000025,419,569
NUTRITION,NON-DAIRY BEVERAGES,2.0,194.26000000000005,29,53
NUTRITION,JUICE,2.0,586.83,64,109
DRUG GM,INFANT CARE PRODUCTS,2.0,759.2000000000003,89,134
SEAFOOD,SEAFOOD - FROZEN,2.0,1052.04,90,110
PASTRY,PIES,2.0,1207.3100000000015,190,262
FROZEN GROCERY,UNKNOWN,2.0,26.42,15,16
DRUG GM,APPAREL,2.0,417.53000000000003,80,91
DRUG GM,SINUS AND ALLERGY,2.0,1620.1400000000008,155,217
MEAT,(CORP USE ONLY),2.0,10.26,7,7
DRUG GM,GLASSES/VISION AIDS,2.0,190.13,16,18
PASTRY,BAKERY PARTY TRAYS,2.0,58.54,4,4
NUTRITION,BREAD,2.0,39.900000000000006,7,9
DRUG GM,DOLLAR VALUE PRODUCTS,2.0,8.33,4,4
TRAVEL & LEISUR,TROPICAL FRUIT,2.0,0.71,1,1
SEAFOOD,SEAFOOD-FRESH,6.0,2737.38,218,385
DRUG GM,CANDY - CHECKLANE,6.0,4066.820000000001,1129,3434
GROCERY,ICE CREAM/MILK/SHERBTS,6.0,12995.399999999938,1210,3148
GROCERY,CRACKERS/MISC BKD FD,6.0,8655.419999999993,1238,3116
GROCERY,SPICES & EXTRACTS,6.0,3445.6200000000013,751,1189
GROCERY,CHEESE,6.0,25010.56999999973,1628,6541
GROCERY,PWDR/CRYSTL DRNK MX,6.0,2698.2000000000044,490,918
PRODUCE,PROCESSED,6.0,2044.6700000000033,416,634
DRUG GM,FIRST AID PRODUCTS,6.0,1846.7100000000014,311,433
PRODUCE,VEGETABLES SALAD,6.0,2204.5400000000086,753,1669
GROCERY,FRUIT - SHELF STABLE,6.0,4911.77000000001,774,1610
PRODUCE,GRAPES,6.0,5487.890000000001,732,1471
GROCERY,BEANS - CANNED GLASS & MW,6.0,2495.530000000001,741,1369
GROCERY,SALD DRSNG/SNDWCH SPRD,6.0,6663.040000000006,1196,2436
GROCERY,DRY NOODLES/PASTA,6.0,3085.049999999998,929,1839
GROCERY,HISPANIC,6.0,6617.890000000009,924,1997
PRODUCE,MUSHROOMS,6.0,1547.9000000000028,324,603
DELI,SUSHI,6.0,747.6499999999999,49,91
GROCERY,FRZN POTATOES,6.0,2742.640000000005,531,972
GROCERY,FRZN MEAT/MEAT DINNERS,6.0,21403.219999999954,1088,3043
GROCERY,FRZN BREAKFAST FOODS,6.0,3347.080000000001,500,946
GROCERY,PAPER TOWELS,6.0,4769.740000000006,739,1578
GROCERY,TEAS,6.0,1549.6700000000003,328,474
DRUG GM,J-HOOKS,6.0,427.5599999999999,117,131
SEAFOOD-PCKGD,SEAFOOD - MISC,6.0,355.0100000000001,125,150
DRUG GM,BATTERIES,6.0,1576.4400000000007,245,297
PASTRY,ROLLS,6.0,1524.970000000001,418,727
GROCERY,PET CARE SUPPLIES,6.0,1666.520000000001,240,357
GROCERY,NEW AGE,6.0,329.55999999999995,68,105
DRUG GM,FOOT CARE PRODUCTS,6.0,602.9599999999999,67,86
DRUG GM,TOYS AND GAMES,6.0,1206.7700000000011,188,258
NUTRITION,CEREAL/BREAKFAST,6.0,1057.3000000000006,110,218
DRUG GM,BABY HBC,6.0,2141.690000000002,329,570
DRUG GM,CANDLES/ACCESSORIES,6.0,334.61999999999995,67,73
DELI,PARTY TRAYS,6.0,727.5000000000001,35,44
MEAT,EXOTIC GAME/FOWL,6.0,113.45000000000002,18,24
DRUG GM,GLASSWARE & DINNERWARE,6.0,159.2,29,29
GROCERY,WATER - CARBONATED/FLVRD DRINK,3.0,7470.139999999972,793,2199
PRODUCE,HERBS,3.0,776.960000000001,287,486
GROCERY,DINNER MXS:DRY,3.0,7081.050000000014,964,2025
GROCERY,DRY BN/VEG/POTATO/RICE,3.0,4936.570000000006,923,1836
DRUG GM,DIAPERS & DISPOSABLES,3.0,7644.129999999992,233,600
GROCERY,SOUP,3.0,13269.419999999973,1348,3687
GROCERY,REFRGRATD JUICES/DRNKS,3.0,9517.089999999962,1162,3513
GROCERY,PAPER HOUSEWARES,3.0,3004.320000000004,555,956
SEAFOOD,SEAFOOD - FROZEN,3.0,1009.8799999999999,85,121
FLORAL,FLORAL-FRESH CUT,3.0,2666.170000000001,204,274
NUTRITION,FROZEN,3.0,1348.3600000000006,84,177
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,3.0,1939.7300000000027,466,647
GROCERY,SUGARS/SWEETNERS,3.0,4142.779999999999,877,1644
MEAT,SMOKED MEATS,3.0,5101.890000000001,422,597
NUTRITION,DRIED FRUIT,3.0,1434.9700000000012,305,459
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,3.0,4165.7300000000105,575,972
GROCERY,CAT FOOD,3.0,4582.909999999998,307,895
PASTRY,CAKES,3.0,5059.900000000003,374,536
KIOSK-GAS,COUPON/MISC ITEMS,3.0,69242.13999999998,674,2817
PASTRY,PIES,3.0,2974.690000000004,355,567
PRODUCE,MELONS,3.0,730.6000000000001,133,206
DRUG GM,CIGARETTES,3.0,12779.439999999997,429,1518
GROCERY,FROZEN BREAD/DOUGH,3.0,2972.2000000000007,633,1106
DRUG GM,INFANT CARE PRODUCTS,3.0,746.2300000000001,113,147
GROCERY,BLEACH,3.0,1207.9000000000003,307,448
DRUG GM,SINUS AND ALLERGY,3.0,1877.590000000001,180,260
DRUG GM,ELECTRICAL SUPPPLIES,3.0,1676.7600000000002,322,420
TRAVEL & LEISUR,TROPICAL FRUIT,3.0,0.92,1,1
NUTRITION,BREAD,3.0,19.950000000000003,4,5
PRODUCE,CORN,3.0,352.92999999999995,86,107
DRUG GM,PREPAID WIRELESS&ACCESSORIES,3.0,2552.86,62,136
NUTRITION,NON-DAIRY BEVERAGES,3.0,224.29,31,60
DRUG GM,APPAREL,3.0,402.86,49,53
PASTRY,BAKERY PARTY TRAYS,3.0,131.29000000000002,20,20
FROZEN GROCERY,UNKNOWN,3.0,52.97,20,22
DRUG GM,GLASSES/VISION AIDS,3.0,165.17000000000002,13,16
NUTRITION,JUICE,3.0,408.15999999999997,72,103
MEAT,(CORP USE ONLY),3.0,45.83,9,9
FLORAL,GIFT & FRUIT BASKETS,3.0,350.73,3,3
PRODUCE,PEPPERS-ALL,5.0,2473.6800000000003,643,1261
GROCERY,VEGETABLES - SHELF STABLE,5.0,7041.130000000019,1147,2953
GROCERY,SHORTENING/OIL,5.0,3824.0099999999998,686,1093
