department,commodity_desc,quarter_like_period,sales,households,baskets
GROCERY,DOMESTIC WINE,6.0,8174.889999999985,223,589
PASTRY,BREAKFAST SWEETS,6.0,2868.660000000004,603,1271
GROCERY,WAREHOUSE SNACKS,6.0,2542.9600000000055,571,1029
DRUG GM,MAGAZINE,6.0,4407.48000000001,455,1028
PRODUCE,PEPPERS-ALL,6.0,2113.0400000000004,610,1148
GROCERY,BUTTER,6.0,2038.0799999999979,356,618
PRODUCE,VALUE ADDED FRUIT,6.0,2968.640000000001,527,1065
DRUG GM,ANALGESICS,6.0,3559.490000000004,393,573
MEAT-PCKGD,HEAT/SERVE,6.0,3717.4000000000037,370,682
GROCERY,PICKLE/RELISH/PKLD VEG,6.0,2263.2200000000007,575,916
DRUG GM,KITCHEN GADGETS,6.0,887.6700000000004,216,248
GROCERY,COCOA MIXES,6.0,907.05,263,355
DRUG GM,EASTER,6.0,5.24,4,4
GROCERY,OLIVES,6.0,796.2200000000004,220,339
DRUG GM,PLASTIC HOUSEWARES,6.0,973.8100000000001,271,310
DELI,SANDWICHES,6.0,965.1600000000002,66,138
GROCERY,CANNED MILK,6.0,430.2900000000001,139,190
PASTRY,DELI SUPPLIES,6.0,131.63000000000002,45,49
PRODUCE,SQUASH,6.0,476.8600000000001,193,304
DRUG GM,DIETARY AID PRODUCTS,6.0,2170.580000000001,125,230
NUTRITION,RICE CAKES,6.0,466.3,106,162
NUTRITION,BEVERAGE,6.0,145.51,28,41
DRUG GM,FILM AND CAMERA PRODUCTS,6.0,1003.1100000000002,111,129
RESTAURANT,COFFEE SHOP,6.0,165.63,16,42
DELI,DELI SUPPLIES,6.0,142.71000000000004,34,38
NUTRITION,CONDIMENTS,6.0,235.54,42,53
COSMETICS,FRAGRANCES,6.0,256.09999999999997,11,14
SALAD BAR,PROD SUPPLIES,6.0,4.71,4,4
DRUG GM,SMOKING CESSATIONS,6.0,480.86,6,11
DELI,SERVICE BEVERAGE,6.0,46.980000000000004,21,34
COSMETICS,COSMETIC ACCESSORIES,6.0,133.02,19,21
PASTRY,BREAD,3.0,2389.660000000003,480,1095
MEAT-PCKGD,LUNCHMEAT,3.0,12207.319999999905,1196,3182
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,3.0,6911.409999999993,818,1673
DELI,CHEESES,3.0,6880.609999999999,622,1529
GROCERY,PASTA SAUCE,3.0,4614.900000000009,895,1674
GROCERY,BEERS/ALES,3.0,19143.319999999756,685,2038
COSMETICS,MAKEUP AND TREATMENT,3.0,2825.0200000000036,336,490
GROCERY,AIR CARE,3.0,2540.61,353,554
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,3.0,6812.2900000000045,752,1767
DRUG GM,SOAP - LIQUID & BAR,3.0,2862.470000000001,503,769
PRODUCE,PEARS,3.0,795.6599999999999,215,354
GROCERY,ISOTONIC DRINKS,3.0,2124.1600000000026,239,425
DRUG GM,DEODORANTS,3.0,2072.130000000001,408,538
DRUG GM,BROOMS AND MOPS,3.0,1167.3600000000006,297,375
DRUG GM,AUDIO/VIDEO PRODUCTS,3.0,2669.010000000001,130,166
SEAFOOD-PCKGD,SEAFOOD - FROZEN,3.0,5790.600000000004,501,754
GROCERY,BAKING NEEDS,3.0,6008.109999999993,928,1906
GROCERY,FRZN NOVELTIES/WTR ICE,3.0,3975.6300000000024,544,997
DRUG GM,VITAMINS,3.0,2326.1700000000014,195,256
GROCERY,FACIAL TISS/DNR NAPKIN,3.0,2633.4900000000007,512,944
GROCERY,COUPON/MISC ITEMS,3.0,701.0100000000001,191,231
