department,commodity_desc,category_sales,units,household_count,household_penetration,basket_penetration,discount_rate,first_year_sales,second_year_sales,sales_growth
COSMETICS,FRAGRANCES,2535.6100000000006,114.0,93,0.0372,0.0004050867319627899,0.02001639356939042,886.6800000000001,1648.93,762.25
DRUG GM,PERSONAL CARE APPLIANCES,2234.3400000000006,171.0,138,0.0552,0.0005931627146597995,0.08581178116829712,916.0599999999998,1318.2800000000002,402.22000000000037
FLORAL,GIFT & FRUIT BASKETS,599.87,47.0,20,0.008,7.59537622430231e-05,0.0,477.65000000000003,122.22,-355.43000000000006
SALAD BAR,PROD SUPPLIES,74.47,12.0,18,0.0072,6.51032247797341e-05,0.0,61.91,12.559999999999999,-49.349999999999994
PHOTO,REFRGRATD DOUGH PRODUCTS,41.4,19.0,17,0.0068,6.148637895863775e-05,0.22293248102277266,6.38,35.019999999999996,28.639999999999997
SEAFOOD-PCKGD,PKG.SEAFOOD MISC,27.92,8.0,2,0.0008,2.170107492657803e-05,0.0,0.0,27.92,27.92
HOUSEWARES,UNKNOWN,2.99,1.0,1,0.0004,3.6168458210963385e-06,0.0,2.99,0.0,-2.99
MEAT-WHSE,COUPON,7.0,7.0,5,0.002,2.170107492657803e-05,0.0,0.0,7.0,7.0
TRAVEL & LEISUR,MELONS,4.4,2.0,2,0.0008,7.233691642192677e-06,0.0,0.0,4.4,4.4
FLORAL,BOUQUET (NON ROSE),80.9,10.0,10,0.004,3.6168458210963384e-05,0.0,0.0,80.9,80.9
POSTAL CENTER,CANDY - CHECKLANE,6.6000000000000005,20.0,5,0.002,4.70189956742524e-05,0.0,0.0,6.6000000000000005,6.6000000000000005
MEAT,LUNCHMEAT,2.2,1.0,1,0.0004,3.6168458210963385e-06,0.0,0.0,2.2,2.2
GROCERY,BEANS - CANNED GLASS & MW,18005.330000000085,21277.0,1714,0.6856,0.03436365214623631,0.14035398230088442,8156.810000000001,9848.52000000002,1691.7100000000191
GROCERY,FRZN NOVELTIES/WTR ICE,40330.17999999981,16209.0,1744,0.6976,0.03746328901491587,0.21979719671887524,18383.399999999998,21946.77999999995,3563.3799999999537
COSMETICS,MAKEUP AND TREATMENT,23513.810000000005,6168.0,1083,0.4332,0.014329943143183692,0.22486653933048306,10242.160000000009,13271.650000000007,3029.489999999998
DRUG GM,CIGARETTES,96387.82999999981,16842.0,998,0.3992,0.03964063019921587,0.015412727359486834,45584.14999999999,50803.67999999998,5219.529999999992
DRUG GM,MAGAZINE,32785.649999999594,9802.0,1211,0.4844,0.02625468381533832,0.0006724877778015069,15667.700000000039,17117.94999999995,1450.2499999999109
DRUG GM,ORAL HYGIENE PRODUCTS,36423.4499999998,11993.0,1639,0.6556,0.028262033246046786,0.11941875728031062,16258.610000000032,20164.839999999975,3906.229999999943
MISC SALES TRAN,COUPON/MISC ITEMS,119960.03999999989,36080860.0,1393,0.5572,0.02167214016000926,0.024681263325157708,47553.60999999997,72406.42999999993,24852.819999999963
DRUG GM,NEWSPAPER,5911.700000000006,5436.0,802,0.3208,0.017422346320221063,0.015615737626301304,2681.63,3230.0700000000033,548.4400000000032
DELI,SALADS/DIPS,24600.989999999947,8279.0,1406,0.5624,0.02183851506777969,0.09055275039129045,10520.640000000012,14080.35000000002,3559.710000000008
GROCERY,SUGARS/SWEETNERS,27505.619999999904,12855.0,1872,0.7488,0.03724989511147119,0.07365506948324146,12352.920000000022,15152.700000000003,2799.7799999999806
SALAD BAR,SALAD BAR,30878.829999999998,10647.0,1152,0.4608,0.030388738588851435,0.027742198343068878,13954.519999999999,16924.309999999998,2969.789999999999
DRUG GM,INFANT FORMULA,50861.78999999989,6174.0,466,0.1864,0.009534005584409947,0.1355065746985142,24608.559999999987,26253.22999999998,1644.6699999999946
PRODUCE,PEPPERS-ALL,16150.660000000014,13593.0,1500,0.6,0.029864295944792466,0.019955678320727786,7108.250000000016,9042.41,1934.1599999999835
MEAT,VEAL,537.96,139.0,65,0.026,0.00037253511957292286,0.0,405.80000000000007,132.16000000000003,-273.64000000000004
MEAT,SMOKED MEATS,27126.21999999996,4554.0,1160,0.464,0.014221437768550803,0.15166095742041982,11713.230000000001,15412.989999999982,3699.75999999998
GROCERY,FLOUR & MEALS,5723.600000000007,3535.0,1164,0.4656,0.011346045340779213,0.07259913556196593,2733.0800000000013,2990.520000000003,257.4400000000019
DRUG GM,GLASSWARE & DINNERWARE,1117.0700000000002,386.0,151,0.0604,0.0006401817103340519,0.15409007806158445,440.13000000000005,676.94,236.81
DRUG GM,FIREWORKS,1317.88,290.0,133,0.0532,0.0005895458688387032,0.0005308741221617193,417.0300000000001,900.8500000000004,483.8200000000003
DRUG GM,FILM AND CAMERA PRODUCTS,7216.800000000007,1229.0,574,0.2296,0.003624079512738531,0.12624250590739539,3650.0700000000015,3566.7300000000014,-83.34000000000015
DRUG GM,DIAPERS & DISPOSABLES,59663.69999999956,5283.0,632,0.2528,0.016579621243905614,0.07590052532515507,26463.749999999953,33199.949999999844,6736.199999999892
DRUG GM,AUDIO/VIDEO PRODUCTS,13669.860000000004,1065.0,518,0.2072,0.0033238813095875347,0.05530041792030043,6606.270000000002,7063.590000000003,457.3200000000006
FLORAL,FLORAL-FOLIAGE PLANTS,2769.4500000000003,336.0,189,0.0756,0.000962080988411626,0.002161811598119224,1279.16,1490.29,211.12999999999988
DELI,DELI SPECIALTIES (RETAIL PK),1321.78,500.0,261,0.1044,0.0015371594739659437,0.07224628169943358,853.4200000000002,468.36000000000007,-385.0600000000001
GROCERY,FRZN FRUITS,5726.350000000002,1811.0,406,0.1624,0.003978530403205972,0.14416743760620657,2437.7400000000002,3288.6100000000006,850.8700000000003
DRUG GM,DISPOSIBLE FOILWARE,3574.7000000000016,1305.0,590,0.236,0.0036602479709494946,0.09007834891996598,1687.0200000000007,1887.6800000000005,200.65999999999985
DRUG GM,TICKETS,8243.079999999994,875.0,324,0.1296,0.002564343687157304,0.0,3785.4599999999996,4457.619999999999,672.1599999999994
GROCERY,OLIVES,5888.060000000004,3460.0,814,0.3256,0.009573790888442008,0.14952370635178552,2666.9000000000005,3221.16,554.2599999999993
DELI,PARTY TRAYS,6698.490000000003,479.0,259,0.1036,0.0014612057117229208,0.038740488980211894,3046.06,3652.4300000000007,606.3700000000008
NUTRITION,NON-DAIRY BEVERAGES,2073.58,950.0,115,0.046,0.0019096945935388667,0.1384538029585374,858.0200000000001,1215.5600000000002,357.5400000000001
COUP/STR & MFG,COUPONS/STORE & MFG,1027.72,1011.0,442,0.1768,0.002951346190014612,0.20221573411190658,396.49,631.23,234.74
MEAT,RW FRESH PROCESSED MEAT,58.77000000000001,34.0,17,0.0068,9.765483716960114e-05,0.11756756756756756,31.349999999999998,27.419999999999998,-3.9299999999999997
DRUG GM,SMOKING CESSATIONS,3030.67,81.0,28,0.0112,0.00028573081986661074,0.027868037401164374,1219.8500000000001,1810.82,590.9699999999998
DRUG GM,HOME HEALTH CARE,126.07,9.0,8,0.0032,3.255161238986705e-05,0.0,56.26,69.81,13.550000000000004
DRUG GM,PORTABLE ELECTRIC APPLIANCES,1778.02,129.0,113,0.0452,0.00045210572763704226,0.12499446360992317,586.3199999999999,1191.7,605.3800000000001
GROCERY,RESTRICTED DIET,131.05,59.0,26,0.0104,0.00013744014120166086,0.016362681077835322,56.18,74.86999999999999,18.68999999999999
PHARMACY SUPPLY,COUPON/MISC ITEMS,16.92,8.0,4,0.0016,2.170107492657803e-05,0.1506024096385542,0.0,16.92,16.92
MEAT,MEAT SUPPLIES,71.64,25.0,10,0.004,5.7869533137541416e-05,0.0,38.8,32.84,-5.959999999999994
DAIRY DELI,EGGS,67.45000000000003,75.0,49,0.0196,0.0001880759826970096,0.029775604142692737,67.45000000000003,0.0,-67.45000000000003
TRAVEL & LEISUR,BERRIES,3.0,2.0,1,0.0004,3.6168458210963385e-06,0.24623115577889446,3.0,0.0,-3.0
PRODUCE,APPLES,36160.74999999984,16404.0,1759,0.7036,0.04536609713401137,0.10018675216705983,15731.400000000012,20429.349999999962,4697.94999999995
GROCERY,REFRGRATD JUICES/DRNKS,72179.19999999917,37668.0,2113,0.8452,0.09381374690759682,0.22951093989261173,33490.679999999855,38688.51999999989,5197.840000000033
GROCERY,BEERS/ALES,147309.67999999796,19860.0,1606,0.6424,0.05615876506416285,0.0007622384998614618,68860.439999999,78449.23999999894,9588.799999999945
GROCERY,BAKING NEEDS,30533.70999999993,17848.0,1815,0.726,0.03762243023104411,0.12384808298610507,14075.619999999994,16458.09000000001,2382.4700000000175
MEAT-PCKGD,LUNCHMEAT,93064.23999999814,46290.0,2147,0.8588,0.0858349850262583,0.20257067725442696,43140.41999999947,49923.819999999265,6783.399999999798
NUTRITION,WATER,3904.390000000001,3672.0,453,0.1812,0.0051540052950622825,0.25598355095165104,1577.1100000000006,2327.2799999999997,750.1699999999992
GROCERY,CRACKERS/MISC BKD FD,64528.55999999973,33059.0,2193,0.8772,0.082181970746951,0.18994982370012808,28826.659999999953,35701.899999999994,6875.240000000042
